trump_word,trump_count,trump_frequency,trump_syllable,,obama_word,obama_frequency,obama_count,obama_syllable
youre,32,7.29E-05,1,,middle,0.001259887,133,2
already,181,0.000412335,3,,without,0.000445223,47,2
economic,146,0.000332602,4,,trying,0.00013262,14,1
ago,144,0.000328046,1,,texas,8.53E-05,9,2
ready,143,0.000325768,2,,taking,4.17E-04,44,2
crooked,208,0.000473844,1,,yesterday,0.000407332,43,3
sure,72,0.000164023,1,,business,0.000397859,42,3
office,158,0.000359939,2,,won,7.58E-05,8,1
read,141,0.000321212,1,,workers,5.59E-04,59,2
lost,180,0.000410057,1,,everything,0.000265239,28,4
borders,205,0.00046701,2,,run,8.53E-05,9,1
sleepy,204,0.000464732,2,,general,7.58E-05,8,3
tremendous,203,0.000462454,3,,man,2.37E-04,25,1
wont,147,0.00033488,1,,number,0.000170511,18,2
tomorrow,146,0.000332602,3,,insurance,0.001430398,151,3
case,176,0.000400945,1,,yet,0.000246294,26,1
crazy,198,0.000451063,2,,rate,0.000653626,69,1
remember,181,0.000412335,3,,market,4.74E-05,5,2
wants,173,0.000394111,1,,may,2.75E-04,29,1
tariffs,197,0.000448785,2,,proud,0.000359968,38,1
away,142,0.00032349,2,,fast,5.68E-05,6,1
middle,63,0.00014352,2,,voting,3.88E-04,41,2
without,149,0.000339436,2,,anything,0.000170511,18,3
trying,181,0.000412335,1,,fair,0.000682044,72,1
texas,185,0.000421448,2,,carolina,6.63E-05,7,4
taking,150,0.000341714,2,,low,1.14E-04,12,1
yesterday,151,0.000343993,3,,wow,9.47E-06,1,1
business,151,0.000343993,3,,join,6.82E-04,72,1
won,184,0.00041917,1,,supreme,0.000161038,17,2
workers,133,0.000302987,2,,iran,5.68E-05,6,2
everything,164,0.000373608,4,,friends,7.77E-04,82,1
run,182,0.000414614,1,,system,0.00056837,60,2
general,183,0.000416892,3,,continue,0.000227348,24,3
man,165,0.000375886,1,,despite,0.000104201,11,2
number,172,0.000391833,2,,lets,0.001117795,118,1
insurance,39,8.88E-05,3,,greatest,0.000104201,11,2
yet,163,0.00037133,1,,took,0.00043575,46,1
